segment_id,source_way_id,sample_area,from_node_id,to_node_id,highway,name,rule_bucket,length_meter,geom_wkt
1353131155_1,1353131155,seomyeon_station_1km,12520416843,11966196621,secondary,동성로,conditional,45.983,"LINESTRING (129.0623149 35.1613010, 129.0624167 35.1613937, 129.0625119 35.1614408, 129.0626407 35.1614715, 129.0627487 35.1614700)"
1353131156_1,1353131156,seomyeon_station_1km,12506902236,12520416856,primary,중앙대로,conditional,133.468,"LINESTRING (129.0639056 35.1639039, 129.0638624 35.1638419, 129.0637689 35.1637175, 129.0631489 35.1629190, 129.0631244 35.1628877)"
1353131156_2,1353131156,seomyeon_station_1km,12520416856,12520416858,primary,중앙대로,conditional,75.334,"LINESTRING (129.0631244 35.1628877, 129.0630577 35.1627992, 129.0627791 35.1624464, 129.0626853 35.1623133)"
1353131156_3,1353131156,seomyeon_station_1km,12520416858,9706723865,primary,중앙대로,conditional,61.062,"LINESTRING (129.0626853 35.1623133, 129.0623315 35.1618465)"
1353131156_4,1353131156,seomyeon_station_1km,9706723865,12520469252,primary,중앙대로,conditional,59.987,"LINESTRING (129.0623315 35.1618465, 129.0621760 35.1616728, 129.0619468 35.1614082)"
1353135344_1,1353135344,seomyeon_station_1km,12520469237,12520469236,primary,중앙대로,direct,51.457,"LINESTRING (129.0592403 35.1566792, 129.0592517 35.1569394, 129.0592625 35.1571416)"
1353135344_2,1353135344,seomyeon_station_1km,12520469236,12520469241,primary,중앙대로,direct,56.018,"LINESTRING (129.0592625 35.1571416, 129.0592686 35.1575330, 129.0592822 35.1576448)"
1353135344_3,1353135344,seomyeon_station_1km,12520469241,436809269,primary,중앙대로,direct,10.631,"LINESTRING (129.0592822 35.1576448, 129.0592930 35.1577400)"
1353135345_1,1353135345,seomyeon_station_1km,12520469238,12520469239,primary,중앙대로,direct,13.453,"LINESTRING (129.0591010 35.1577396, 129.0590877 35.1576191)"
1353135345_2,1353135345,seomyeon_station_1km,12520469239,436724889,primary,중앙대로,direct,53.647,"LINESTRING (129.0590877 35.1576191, 129.0590814 35.1575232, 129.0590760 35.1571368)"
1353135345_3,1353135345,seomyeon_station_1km,436724889,12540920670,primary,중앙대로,direct,51.094,"LINESTRING (129.0590760 35.1571368, 129.0590850 35.1570017, 129.0590850 35.1568683, 129.0590844 35.1566775)"
1353135346_1,1353135346,seomyeon_station_1km,12520469243,12520469242,secondary,서전로,conditional,71.354,"LINESTRING (129.0606671 35.1577713, 129.0598823 35.1577618)"
1353135346_2,1353135346,seomyeon_station_1km,12520469242,436809269,secondary,서전로,conditional,53.628,"LINESTRING (129.0598823 35.1577618, 129.0592930 35.1577400)"
1353135346_3,1353135346,seomyeon_station_1km,436809269,12520469238,secondary,서전로,conditional,17.455,"LINESTRING (129.0592930 35.1577400, 129.0591010 35.1577396)"
1353135348_1,1353135348,seomyeon_station_1km,12520469246,12520469244,service,,conditional,19.457,"LINESTRING (129.0590596 35.1582521, 129.0590693 35.1584269)"
1353135349_1,1353135349,seomyeon_station_1km,12520469252,12520469254,primary,중앙대로,direct,66.435,"LINESTRING (129.0619468 35.1614082, 129.0617834 35.1612283, 129.0615372 35.1609138)"
1353135349_2,1353135349,seomyeon_station_1km,12520469254,12520469255,primary,중앙대로,direct,137.292,"LINESTRING (129.0615372 35.1609138, 129.0608947 35.1601040, 129.0607156 35.1598778)"
1353135349_3,1353135349,seomyeon_station_1km,12520469255,12520469256,primary,중앙대로,direct,109.221,"LINESTRING (129.0607156 35.1598778, 129.0600626 35.1590533)"
1353135349_4,1353135349,seomyeon_station_1km,12520469256,12520469257,primary,중앙대로,direct,98.081,"LINESTRING (129.0600626 35.1590533, 129.0594762 35.1583129)"
1353135349_5,1353135349,seomyeon_station_1km,12520469257,12520469238,primary,중앙대로,direct,72.745,"LINESTRING (129.0594762 35.1583129, 129.0592251 35.1579973, 129.0591502 35.1578698, 129.0591010 35.1577396)"
1355097567_1,1355097567,seomyeon_station_1km,12540920618,12540920619,footway,,direct,34.522,"LINESTRING (129.0590353 35.1506450, 129.0590277 35.1503346)"
1355097568_1,1355097568,seomyeon_station_1km,12540920619,12540920642,footway,,direct,12.192,"LINESTRING (129.0590277 35.1503346, 129.0590237 35.1502250)"
1355097568_2,1355097568,seomyeon_station_1km,12540920642,11966248339,footway,,direct,9.751,"LINESTRING (129.0590237 35.1502250, 129.0590583 35.1501420)"
1355097571_1,1355097571,seomyeon_station_1km,12540920620,12540920629,footway,,direct,242.625,"LINESTRING (129.0586348 35.1471091, 129.0586241 35.1471853, 129.0586133 35.1473048, 129.0586254 35.1473476, 129.0587045 35.1473493, 129.0589379 35.1473355, 129.0589714 35.1475220, 129.0588712 35.1475809, 129.0588064 35.1476360, 129.0590894 35.1478411, 129.0590841 35.1482126, 129.0590707 35.1488514)"
1355097571_2,1355097571,seomyeon_station_1km,12540920629,12540920630,footway,,direct,57.412,"LINESTRING (129.0590707 35.1488514, 129.0590573 35.1493676)"
